id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
180,RAW_LLM,True,True,True,36,50.0,3.27
181,MTP_DSL,True,True,True,54,-90.0,6.141
181,RAW_LLM,False,False,False,36,-167.4,3.496
182,MTP_DSL,True,True,True,53,55.3,5.831
182,RAW_LLM,True,True,True,36,55.3,3.869
183,MTP_DSL,True,True,False,55,-87.3,7.165
183,RAW_LLM,True,True,True,62,-53.8,3.827
184,MTP_DSL,True,True,True,54,-58.6,5.043
184,RAW_LLM,True,True,True,38,-58.6,2.932
185,MTP_DSL,True,True,True,53,13.9,5.64
185,RAW_LLM,True,True,True,34,13.9,3.818
186,MTP_DSL,True,True,True,54,73.4,5.21
186,RAW_LLM,True,True,True,36,73.4,3.29
187,MTP_DSL,True,True,True,54,-72.2,5.089
187,RAW_LLM,True,True,True,38,-72.2,3.146
188,MTP_DSL,True,True,True,54,-90.0,5.454
188,RAW_LLM,False,False,False,39,-252.3,2.935
189,MTP_DSL,True,True,True,54,-11.1,5.588
189,RAW_LLM,True,True,True,35,-11.1,3.726
190,MTP_DSL,True,True,True,53,64.5,6.37
190,RAW_LLM,True,True,True,61,65.0,3.489
191,MTP_DSL,True,True,True,54,-55.9,5.561
191,RAW_LLM,True,True,True,35,-55.9,3.544
192,MTP_DSL,True,True,True,54,-90.0,6.506
192,RAW_LLM,False,False,False,38,-226.6,3.846
193,MTP_DSL,True,True,True,52,0.0,3.989
193,RAW_LLM,True,True,True,28,0.0,2.566
194,MTP_DSL,True,True,True,53,64.0,5.063
194,RAW_LLM,True,True,True,37,64.0,3.143
195,MTP_DSL,True,True,True,53,68.1,4.943
195,RAW_LLM,True,True,True,37,68.1,2.949
196,MTP_DSL,True,True,False,54,-45.6,6.377
196,RAW_LLM,True,True,True,62,15.6,3.867
197,MTP_DSL,True,True,False,54,-65.2,6.367
197,RAW_LLM,True,True,True,62,21.4,3.479
198,MTP_DSL,True,True,False,54,20.0,6.432
198,RAW_LLM,True,True,True,60,50.0,4.656
199,MTP_DSL,True,True,True,54,-37.2,8.774
199,RAW_LLM,True,True,True,85,-37.2,5.57
200,MTP_DSL,True,True,True,54,90.0,5.745
200,RAW_LLM,False,False,False,37,335.7,3.277
201,MTP_DSL,True,True,True,53,-6.6,5.833
201,RAW_LLM,True,True,True,36,-6.6,3.969
202,MTP_DSL,True,True,True,54,-90.0,5.621
202,RAW_LLM,False,False,False,39,-323.0,2.999
203,MTP_DSL,True,True,True,53,40.3,4.872
203,RAW_LLM,True,True,True,37,40.3,2.972
204,MTP_DSL,True,True,True,55,-25.8,5.359
204,RAW_LLM,True,True,True,37,-25.8,3.948
205,MTP_DSL,True,True,True,53,76.2,5.534
205,RAW_LLM,True,True,True,34,76.2,3.537
206,MTP_DSL,True,True,True,53,85.9,5.417
206,RAW_LLM,True,True,True,34,85.9,3.739
207,MTP_DSL,True,True,True,55,-52.4,5.554
207,RAW_LLM,True,True,True,37,-52.4,3.28
208,MTP_DSL,True,True,True,52,1.5,5.721
208,RAW_LLM,True,True,True,35,1.5,4.086
209,MTP_DSL,True,True,True,54,-90.0,5.933
209,RAW_LLM,False,False,False,36,-218.7,3.565
210,MTP_DSL,True,True,True,53,90.0,6.003
210,RAW_LLM,False,False,False,37,299.2,3.914
211,MTP_DSL,True,True,True,54,-28.9,6.009
211,RAW_LLM,True,True,True,35,-28.9,3.554
212,MTP_DSL,True,True,True,54,-71.8,5.185
212,RAW_LLM,True,True,True,38,-71.8,2.955
213,MTP_DSL,True,True,True,54,-90.0,6.602
213,RAW_LLM,False,False,False,38,-222.9,3.862
214,MTP_DSL,True,True,True,53,90.0,5.575
214,RAW_LLM,False,False,False,35,345.6,3.565
